source,source_release,geography,year,period,metric,value,unit,status,is_revised,rpp_year,method,input_source_ids,assumptions
National Assessment of Educational Progress Data Service,2024 assessment,Tennessee,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,30.5148630951538,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Virginia,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,28.512893672747,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,West Virginia,2024,2024 assessment,naep_grade_8_mathematics_at_or_above_proficient,17.7540085213058,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Alabama,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,21.2633633589712,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Arkansas,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,25.3464209790669,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Florida,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,25.3492724819264,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Georgia,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,31.2003328534336,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Kentucky,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,28.6086495273083,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Louisiana,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,27.1968745909926,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Mississippi,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,22.7674126842599,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,North Carolina,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,26.9218949013613,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,South Carolina,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,25.8365294792755,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Tennessee,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,31.0579284892108,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,Virginia,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,28.96667910023,percent at or above NAEP Proficient,actual,False,,,,
National Assessment of Educational Progress Data Service,2024 assessment,West Virginia,2024,2024 assessment,naep_grade_8_reading_at_or_above_proficient,20.7558855167144,percent at or above NAEP Proficient,actual,False,,,,
