source,source_release,geography,year,metric,value,unit,status
BEA regional price parities,2024,Georgia,2021,regional_price_parity,95.713,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2022,regional_price_parity,95.678,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2023,regional_price_parity,96.494,index (United States = 100),actual
BEA regional price parities,2024,Georgia,2024,regional_price_parity,96.293,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2008,regional_price_parity,89.840,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2009,regional_price_parity,88.539,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2010,regional_price_parity,90.433,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2011,regional_price_parity,90.458,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2012,regional_price_parity,90.687,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2013,regional_price_parity,90.892,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2014,regional_price_parity,91.063,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2015,regional_price_parity,90.733,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2016,regional_price_parity,90.676,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2017,regional_price_parity,89.985,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2018,regional_price_parity,89.071,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2019,regional_price_parity,89.597,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2020,regional_price_parity,89.078,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2021,regional_price_parity,89.246,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2022,regional_price_parity,89.402,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2023,regional_price_parity,89.890,index (United States = 100),actual
BEA regional price parities,2024,Kentucky,2024,regional_price_parity,90.159,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2008,regional_price_parity,91.468,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2009,regional_price_parity,90.180,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2010,regional_price_parity,92.198,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2011,regional_price_parity,92.729,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2012,regional_price_parity,92.908,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2013,regional_price_parity,92.927,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2014,regional_price_parity,93.401,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2015,regional_price_parity,92.834,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2016,regional_price_parity,93.600,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2017,regional_price_parity,92.364,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2018,regional_price_parity,90.755,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2019,regional_price_parity,91.159,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2020,regional_price_parity,91.141,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2021,regional_price_parity,91.373,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2022,regional_price_parity,90.489,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2023,regional_price_parity,88.700,index (United States = 100),actual
BEA regional price parities,2024,Louisiana,2024,regional_price_parity,88.207,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2008,regional_price_parity,88.077,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2009,regional_price_parity,85.639,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2010,regional_price_parity,88.305,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2011,regional_price_parity,88.892,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2012,regional_price_parity,88.571,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2013,regional_price_parity,88.902,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2014,regional_price_parity,88.960,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2015,regional_price_parity,88.264,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2016,regional_price_parity,88.489,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2017,regional_price_parity,87.737,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2018,regional_price_parity,86.157,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2019,regional_price_parity,86.527,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2020,regional_price_parity,85.583,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2021,regional_price_parity,86.222,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2022,regional_price_parity,87.336,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2023,regional_price_parity,86.792,index (United States = 100),actual
BEA regional price parities,2024,Mississippi,2024,regional_price_parity,86.953,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2008,regional_price_parity,92.449,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2009,regional_price_parity,91.262,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2010,regional_price_parity,92.899,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2011,regional_price_parity,93.572,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2012,regional_price_parity,93.509,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2013,regional_price_parity,93.732,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2014,regional_price_parity,93.826,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2015,regional_price_parity,93.588,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2016,regional_price_parity,93.801,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2017,regional_price_parity,93.025,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2018,regional_price_parity,92.894,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2019,regional_price_parity,91.866,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2020,regional_price_parity,91.345,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2021,regional_price_parity,93.734,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2022,regional_price_parity,94.013,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2023,regional_price_parity,94.399,index (United States = 100),actual
BEA regional price parities,2024,North Carolina,2024,regional_price_parity,94.326,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2008,regional_price_parity,91.953,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2009,regional_price_parity,90.998,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2010,regional_price_parity,92.664,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2011,regional_price_parity,93.183,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2012,regional_price_parity,93.392,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2013,regional_price_parity,93.299,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2014,regional_price_parity,93.231,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2015,regional_price_parity,93.320,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2016,regional_price_parity,93.636,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2017,regional_price_parity,92.840,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2018,regional_price_parity,92.244,index (United States = 100),actual
